epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,2223.18,0.69794,0.3624,0.81673,0.99144,0.9737,0.97965,0.74227,0.95097,0.45878,0.87046,0.0006239,0.0006239,0.0006239
141,2238.7,0.73002,0.37322,0.82949,0.99091,0.95798,0.97996,0.757,0.91748,0.45399,0.86715,0.000614,0.000614,0.000614
142,2253.3,0.72868,0.37778,0.83651,0.99013,0.95798,0.97669,0.74864,0.96631,0.44896,0.87098,0.0006041,0.0006041,0.0006041
143,2268.84,0.70682,0.38446,0.82054,0.98908,0.96639,0.98306,0.74996,0.92817,0.4358,0.87371,0.0005942,0.0005942,0.0005942
144,2285.21,0.6851,0.37554,0.81593,0.98274,0.95666,0.98056,0.74902,0.90542,0.44889,0.85329,0.0005843,0.0005843,0.0005843
145,2301.69,0.72273,0.37293,0.80966,0.98102,0.95798,0.98224,0.74124,0.91778,0.47465,0.83807,0.0005744,0.0005744,0.0005744
146,2319.66,0.71489,0.36867,0.82969,0.99126,0.95363,0.98072,0.73972,0.92409,0.4512,0.84464,0.0005645,0.0005645,0.0005645
147,2337.26,0.74457,0.38903,0.82889,0.9912,0.94692,0.9795,0.73008,0.94885,0.48506,0.84623,0.0005546,0.0005546,0.0005546
148,2354.17,0.74188,0.38922,0.83221,0.98911,0.95798,0.98408,0.74121,0.9421,0.46266,0.8442,0.0005447,0.0005447,0.0005447
149,2371.97,0.68184,0.36033,0.80628,0.98967,0.96639,0.98093,0.75517,0.94072,0.41428,0.89672,0.0005348,0.0005348,0.0005348
150,2387.83,0.69386,0.35814,0.82042,0.9913,0.9574,0.98506,0.76623,0.89356,0.43219,0.84039,0.0005249,0.0005249,0.0005249
151,2405.46,0.73122,0.42591,0.84609,0.99124,0.96639,0.98472,0.76497,0.89,0.43799,0.8327,0.000515,0.000515,0.000515
152,2422.7,0.69945,0.36745,0.80726,0.99151,0.98149,0.98084,0.74185,0.9184,0.42947,0.85755,0.0005051,0.0005051,0.0005051
153,2439.22,0.70991,0.3646,0.81883,0.98915,0.96639,0.98672,0.75943,0.93116,0.42142,0.86334,0.0004952,0.0004952,0.0004952
154,2455.64,0.70556,0.37086,0.83546,0.98773,0.96639,0.98399,0.75286,0.93071,0.4294,0.86754,0.0004853,0.0004853,0.0004853
155,2471.52,0.75499,0.392,0.82217,0.98899,0.94118,0.97796,0.72959,0.95569,0.44867,0.86534,0.0004754,0.0004754,0.0004754
156,2488.05,0.72879,0.38117,0.82408,0.97981,0.95798,0.97879,0.74847,0.90479,0.45253,0.84896,0.0004655,0.0004655,0.0004655
157,2502.46,0.69264,0.37384,0.81858,0.98057,0.95798,0.98262,0.74813,0.91259,0.44739,0.84395,0.0004556,0.0004556,0.0004556
158,2517.41,0.68516,0.36753,0.80221,0.9913,0.95725,0.98354,0.75155,0.92481,0.44151,0.83974,0.0004457,0.0004457,0.0004457
159,2533.29,0.73347,0.37182,0.82436,0.99129,0.95681,0.98322,0.74965,0.91384,0.43531,0.83928,0.0004358,0.0004358,0.0004358
160,2546.41,0.70696,0.37146,0.82944,0.97963,0.94958,0.98219,0.75422,0.90831,0.44466,0.83966,0.0004259,0.0004259,0.0004259
161,2563.9,0.66471,0.36656,0.78676,0.98286,0.96398,0.98143,0.76437,0.88322,0.43718,0.84033,0.000416,0.000416,0.000416
162,2576.83,0.65557,0.34385,0.8218,0.98922,0.95798,0.97746,0.74186,0.94737,0.45942,0.89369,0.0004061,0.0004061,0.0004061
163,2592.01,0.69272,0.37128,0.81889,0.99069,0.95798,0.98033,0.75083,0.90844,0.44983,0.85213,0.0003962,0.0003962,0.0003962
164,2606.55,0.67667,0.3536,0.82428,0.99052,0.94958,0.98249,0.7695,0.84117,0.42888,0.8298,0.0003863,0.0003863,0.0003863
165,2620.23,0.6605,0.34696,0.81875,0.98254,0.95798,0.98156,0.74624,0.90922,0.45744,0.83588,0.0003764,0.0003764,0.0003764
166,2637.14,0.64236,0.3468,0.80754,0.98974,0.95798,0.98068,0.76922,0.86049,0.43515,0.84303,0.0003665,0.0003665,0.0003665
167,2652.8,0.72159,0.3725,0.80808,0.99136,0.96463,0.98002,0.76121,0.88025,0.43313,0.84482,0.0003566,0.0003566,0.0003566
168,2669.23,0.66937,0.35678,0.80641,0.98618,0.95798,0.97593,0.74895,0.90274,0.44205,0.85828,0.0003467,0.0003467,0.0003467
169,2682.35,0.63674,0.32805,0.82081,0.99024,0.95798,0.9784,0.76776,0.85852,0.44801,0.83391,0.0003368,0.0003368,0.0003368
